,indRap,PC,RC,Com
8224,548,P05,R2,Commentaire Aléatoire0_Très
8225,548,P06,R2,Commentaire Aléatoire0_Très
8226,548,P07,R7,Commentaire Aléatoire3_Trois_Ècî
8227,548,P08,R3,Commentaire Aléatoire4_Qûàtré
8228,548,P09,R2,Commentaire Aléatoire3_Trois_Ècî
8229,548,P10,R2,Commentaire Aléatoire0_Très
8230,548,P11,R2,Commentaire Aléatoire3_Trois_Ècî
8231,548,P12,R3,Commentaire Aléatoire2_Trop Û
8232,548,P13,R2,Commentaire Aléatoire1_îàèù
8233,548,P14,R2,Commentaire Aléatoire2_Trop Û
8234,548,P20,R1,Commentaire Aléatoire1_îàèù
8235,549,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8236,549,P02,R6,Commentaire Aléatoire4_Qûàtré
8237,549,P03,R4,Commentaire Aléatoire0_Très
8238,549,P04,R5,Commentaire Aléatoire4_Qûàtré
8239,549,P05,R2,Commentaire Aléatoire3_Trois_Ècî
8240,549,P06,R2,Commentaire Aléatoire2_Trop Û
8241,549,P07,R7,Commentaire Aléatoire0_Très
8242,549,P08,R5,Commentaire Aléatoire2_Trop Û
8243,549,P09,R2,Commentaire Aléatoire3_Trois_Ècî
8244,549,P10,R1,Commentaire Aléatoire2_Trop Û
8245,549,P11,R2,Commentaire Aléatoire4_Qûàtré
8246,549,P12,R3,Commentaire Aléatoire2_Trop Û
8247,549,P13,R2,Commentaire Aléatoire2_Trop Û
8248,549,P14,R1,Commentaire Aléatoire1_îàèù
8249,549,P20,R2,Commentaire Aléatoire0_Très
8250,550,P01,R4,Commentaire Aléatoire2_Trop Û
8251,550,P02,R9,Commentaire Aléatoire4_Qûàtré
8252,550,P03,R4,Commentaire Aléatoire3_Trois_Ècî
8253,550,P04,R5,Commentaire Aléatoire0_Très
8254,550,P05,R2,Commentaire Aléatoire1_îàèù
8255,550,P06,R2,Commentaire Aléatoire2_Trop Û
8256,550,P07,R7,Commentaire Aléatoire2_Trop Û
8257,550,P08,R5,Commentaire Aléatoire3_Trois_Ècî
8258,550,P09,R2,Commentaire Aléatoire4_Qûàtré
8259,550,P10,R1,Commentaire Aléatoire1_îàèù
8260,550,P11,R2,Commentaire Aléatoire4_Qûàtré
8261,550,P12,R3,Commentaire Aléatoire0_Très
8262,550,P13,R2,Commentaire Aléatoire4_Qûàtré
8263,550,P14,R2,Commentaire Aléatoire1_îàèù
8264,550,P20,R2,Commentaire Aléatoire4_Qûàtré
8265,551,P01,R1,Commentaire Aléatoire2_Trop Û
8266,551,P02,R9,Commentaire Aléatoire1_îàèù
8267,551,P03,R4,Commentaire Aléatoire4_Qûàtré
8268,551,P04,R1,Commentaire Aléatoire1_îàèù
8269,551,P05,R2,Commentaire Aléatoire1_îàèù
8270,551,P06,R2,Commentaire Aléatoire4_Qûàtré
8271,551,P07,R7,Commentaire Aléatoire3_Trois_Ècî
8272,551,P08,R5,Commentaire Aléatoire1_îàèù
8273,551,P09,R2,Commentaire Aléatoire1_îàèù
8274,551,P10,R2,Commentaire Aléatoire2_Trop Û
8275,551,P11,R2,Commentaire Aléatoire0_Très
8276,551,P12,R3,Commentaire Aléatoire2_Trop Û
8277,551,P13,R2,Commentaire Aléatoire4_Qûàtré
8278,551,P14,R2,Commentaire Aléatoire2_Trop Û
8279,551,P20,R2,Commentaire Aléatoire1_îàèù
8280,552,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8281,552,P02,R9,Commentaire Aléatoire2_Trop Û
8282,552,P03,R4,Commentaire Aléatoire0_Très
8283,552,P04,R5,Commentaire Aléatoire1_îàèù
8284,552,P05,R2,Commentaire Aléatoire0_Très
8285,552,P06,R2,Commentaire Aléatoire2_Trop Û
8286,552,P07,R7,Commentaire Aléatoire1_îàèù
8287,552,P08,R5,Commentaire Aléatoire4_Qûàtré
8288,552,P09,R2,Commentaire Aléatoire2_Trop Û
8289,552,P10,R2,Commentaire Aléatoire3_Trois_Ècî
8290,552,P11,R2,Commentaire Aléatoire1_îàèù
8291,552,P12,R1,Commentaire Aléatoire2_Trop Û
8292,552,P13,R2,Commentaire Aléatoire0_Très
8293,552,P14,R1,Commentaire Aléatoire4_Qûàtré
8294,552,P20,R0,Commentaire Aléatoire2_Trop Û
8295,553,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8296,553,P02,R9,Commentaire Aléatoire2_Trop Û
8297,553,P03,R3,Commentaire Aléatoire0_Très
8298,553,P04,R5,Commentaire Aléatoire0_Très
8299,553,P05,R2,Commentaire Aléatoire4_Qûàtré
8300,553,P06,R2,Commentaire Aléatoire4_Qûàtré
8301,553,P07,R7,Commentaire Aléatoire4_Qûàtré
8302,553,P08,R5,Commentaire Aléatoire3_Trois_Ècî
8303,553,P09,R2,Commentaire Aléatoire1_îàèù
8304,553,P10,R2,Commentaire Aléatoire2_Trop Û
8305,553,P11,R2,Commentaire Aléatoire1_îàèù
8306,553,P12,R0,Commentaire Aléatoire3_Trois_Ècî
8307,553,P13,R2,Commentaire Aléatoire1_îàèù
8308,553,P14,R2,Commentaire Aléatoire0_Très
8309,553,P20,R0,Commentaire Aléatoire3_Trois_Ècî
8310,554,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8311,554,P02,R9,Commentaire Aléatoire2_Trop Û
8312,554,P03,R0,Commentaire Aléatoire3_Trois_Ècî
8313,554,P04,R5,Commentaire Aléatoire3_Trois_Ècî
8314,554,P05,R2,Commentaire Aléatoire4_Qûàtré
8315,554,P06,R2,Commentaire Aléatoire4_Qûàtré
8316,554,P07,R7,Commentaire Aléatoire1_îàèù
8317,554,P08,R5,Commentaire Aléatoire3_Trois_Ècî
8318,554,P09,R0,Commentaire Aléatoire2_Trop Û
8319,554,P10,R2,Commentaire Aléatoire1_îàèù
8320,554,P11,R2,Commentaire Aléatoire0_Très
8321,554,P12,R3,Commentaire Aléatoire1_îàèù
8322,554,P13,R2,Commentaire Aléatoire4_Qûàtré
8323,554,P14,R2,Commentaire Aléatoire1_îàèù
8324,554,P20,R2,Commentaire Aléatoire3_Trois_Ècî
8325,555,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8326,555,P02,R8,Commentaire Aléatoire3_Trois_Ècî
8327,555,P03,R4,Commentaire Aléatoire4_Qûàtré
8328,555,P04,R5,Commentaire Aléatoire4_Qûàtré
8329,555,P05,R2,Commentaire Aléatoire1_îàèù
8330,555,P06,R1,Commentaire Aléatoire1_îàèù
8331,555,P07,R7,Commentaire Aléatoire4_Qûàtré
8332,555,P08,R5,Commentaire Aléatoire3_Trois_Ècî
8333,555,P09,R2,Commentaire Aléatoire4_Qûàtré
8334,555,P10,R2,Commentaire Aléatoire4_Qûàtré
8335,555,P11,R2,Commentaire Aléatoire3_Trois_Ècî
8336,555,P12,R3,Commentaire Aléatoire4_Qûàtré
8337,555,P13,R2,Commentaire Aléatoire2_Trop Û
8338,555,P14,R2,Commentaire Aléatoire0_Très
8339,555,P20,R2,Commentaire Aléatoire0_Très
8340,556,P01,R4,Commentaire Aléatoire2_Trop Û
8341,556,P02,R5,Commentaire Aléatoire0_Très
8342,556,P03,R4,Commentaire Aléatoire1_îàèù
8343,556,P04,R5,Commentaire Aléatoire1_îàèù
8344,556,P05,R2,Commentaire Aléatoire3_Trois_Ècî
8345,556,P06,R2,Commentaire Aléatoire0_Très
8346,556,P07,R7,Commentaire Aléatoire0_Très
8347,556,P08,R0,Commentaire Aléatoire2_Trop Û
8348,556,P09,R2,Commentaire Aléatoire4_Qûàtré
8349,556,P10,R2,Commentaire Aléatoire1_îàèù
8350,556,P11,R1,Commentaire Aléatoire2_Trop Û
8351,556,P12,R1,Commentaire Aléatoire1_îàèù
8352,556,P13,R2,Commentaire Aléatoire2_Trop Û
8353,556,P14,R2,Commentaire Aléatoire2_Trop Û
8354,556,P20,R2,Commentaire Aléatoire0_Très
8355,557,P01,R4,Commentaire Aléatoire2_Trop Û
8356,557,P02,R9,Commentaire Aléatoire0_Très
8357,557,P03,R4,Commentaire Aléatoire4_Qûàtré
8358,557,P04,R5,Commentaire Aléatoire3_Trois_Ècî
8359,557,P05,R2,Commentaire Aléatoire1_îàèù
8360,557,P06,R2,Commentaire Aléatoire1_îàèù
8361,557,P07,R7,Commentaire Aléatoire2_Trop Û
8362,557,P08,R0,Commentaire Aléatoire0_Très
8363,557,P09,R2,Commentaire Aléatoire0_Très
8364,557,P10,R2,Commentaire Aléatoire4_Qûàtré
8365,557,P11,R2,Commentaire Aléatoire4_Qûàtré
8366,557,P12,R3,Commentaire Aléatoire1_îàèù
8367,557,P13,R2,Commentaire Aléatoire3_Trois_Ècî
8368,557,P14,R1,Commentaire Aléatoire4_Qûàtré
8369,557,P20,R2,Commentaire Aléatoire0_Très
8370,558,P01,R4,Commentaire Aléatoire0_Très
8371,558,P02,R9,Commentaire Aléatoire0_Très
8372,558,P03,R2,Commentaire Aléatoire2_Trop Û
8373,558,P04,R5,Commentaire Aléatoire2_Trop Û
8374,558,P05,R2,Commentaire Aléatoire1_îàèù
8375,558,P06,R2,Commentaire Aléatoire3_Trois_Ècî
8376,558,P07,R1,Commentaire Aléatoire1_îàèù
8377,558,P08,R5,Commentaire Aléatoire0_Très
8378,558,P09,R2,Commentaire Aléatoire1_îàèù
8379,558,P10,R0,Commentaire Aléatoire1_îàèù
8380,558,P11,R2,Commentaire Aléatoire3_Trois_Ècî
8381,558,P12,R3,Commentaire Aléatoire4_Qûàtré
8382,558,P13,R2,Commentaire Aléatoire1_îàèù
8383,558,P14,R2,Commentaire Aléatoire2_Trop Û
8384,558,P20,R2,Commentaire Aléatoire1_îàèù
8385,559,P01,R4,Commentaire Aléatoire0_Très
8386,559,P02,R9,Commentaire Aléatoire0_Très
8387,559,P03,R4,Commentaire Aléatoire3_Trois_Ècî
8388,559,P04,R5,Commentaire Aléatoire1_îàèù
8389,559,P05,R2,Commentaire Aléatoire1_îàèù
8390,559,P06,R2,Commentaire Aléatoire2_Trop Û
8391,559,P07,R6,Commentaire Aléatoire3_Trois_Ècî
8392,559,P08,R5,Commentaire Aléatoire4_Qûàtré
8393,559,P09,R2,Commentaire Aléatoire4_Qûàtré
8394,559,P10,R2,Commentaire Aléatoire1_îàèù
8395,559,P11,R0,Commentaire Aléatoire3_Trois_Ècî
8396,559,P12,R1,Commentaire Aléatoire0_Très
8397,559,P13,R2,Commentaire Aléatoire0_Très
8398,559,P14,R2,Commentaire Aléatoire1_îàèù
8399,559,P20,R2,Commentaire Aléatoire1_îàèù
8400,560,P01,R4,Commentaire Aléatoire0_Très
8401,560,P02,R9,Commentaire Aléatoire0_Très
8402,560,P03,R0,Commentaire Aléatoire4_Qûàtré
8403,560,P04,R1,Commentaire Aléatoire0_Très
8404,560,P05,R2,Commentaire Aléatoire0_Très
8405,560,P06,R2,Commentaire Aléatoire2_Trop Û
8406,560,P07,R7,Commentaire Aléatoire1_îàèù
8407,560,P08,R5,Commentaire Aléatoire1_îàèù
8408,560,P09,R2,Commentaire Aléatoire1_îàèù
8409,560,P10,R2,Commentaire Aléatoire0_Très
8410,560,P11,R2,Commentaire Aléatoire4_Qûàtré
8411,560,P12,R3,Commentaire Aléatoire4_Qûàtré
8412,560,P13,R2,Commentaire Aléatoire4_Qûàtré
8413,560,P14,R2,Commentaire Aléatoire0_Très
8414,560,P20,R2,Commentaire Aléatoire0_Très
8415,561,P01,R0,Commentaire Aléatoire1_îàèù
8416,561,P02,R9,Commentaire Aléatoire0_Très
8417,561,P03,R4,Commentaire Aléatoire3_Trois_Ècî
8418,561,P04,R5,Commentaire Aléatoire1_îàèù
8419,561,P05,R2,Commentaire Aléatoire1_îàèù
8420,561,P06,R2,Commentaire Aléatoire3_Trois_Ècî
8421,561,P07,R2,Commentaire Aléatoire2_Trop Û
8422,561,P08,R0,Commentaire Aléatoire2_Trop Û
8423,561,P09,R2,Commentaire Aléatoire0_Très
8424,561,P10,R2,Commentaire Aléatoire3_Trois_Ècî
8425,561,P11,R2,Commentaire Aléatoire1_îàèù
8426,561,P12,R3,Commentaire Aléatoire2_Trop Û
8427,561,P13,R2,Commentaire Aléatoire1_îàèù
8428,561,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8429,561,P20,R2,Commentaire Aléatoire1_îàèù
8430,562,P01,R4,Commentaire Aléatoire2_Trop Û
8431,562,P02,R9,Commentaire Aléatoire2_Trop Û
8432,562,P03,R4,Commentaire Aléatoire2_Trop Û
8433,562,P04,R5,Commentaire Aléatoire2_Trop Û
8434,562,P05,R2,Commentaire Aléatoire2_Trop Û
8435,562,P06,R2,Commentaire Aléatoire0_Très
8436,562,P07,R7,Commentaire Aléatoire1_îàèù
8437,562,P08,R5,Commentaire Aléatoire0_Très
8438,562,P09,R1,Commentaire Aléatoire1_îàèù
8439,562,P10,R0,Commentaire Aléatoire3_Trois_Ècî
8440,562,P11,R1,Commentaire Aléatoire1_îàèù
8441,562,P12,R3,Commentaire Aléatoire2_Trop Û
8442,562,P13,R2,Commentaire Aléatoire2_Trop Û
8443,562,P14,R1,Commentaire Aléatoire2_Trop Û
8444,562,P20,R2,Commentaire Aléatoire2_Trop Û
8445,563,P01,R4,Commentaire Aléatoire2_Trop Û
8446,563,P02,R2,Commentaire Aléatoire3_Trois_Ècî
8447,563,P03,R4,Commentaire Aléatoire3_Trois_Ècî
8448,563,P04,R5,Commentaire Aléatoire2_Trop Û
8449,563,P05,R2,Commentaire Aléatoire1_îàèù
8450,563,P06,R1,Commentaire Aléatoire0_Très
8451,563,P07,R7,Commentaire Aléatoire0_Très
8452,563,P08,R5,Commentaire Aléatoire0_Très
8453,563,P09,R2,Commentaire Aléatoire2_Trop Û
8454,563,P10,R1,Commentaire Aléatoire3_Trois_Ècî
8455,563,P11,R1,Commentaire Aléatoire4_Qûàtré
8456,563,P12,R3,Commentaire Aléatoire0_Très
8457,563,P13,R2,Commentaire Aléatoire4_Qûàtré
8458,563,P14,R1,Commentaire Aléatoire0_Très
8459,563,P20,R1,Commentaire Aléatoire1_îàèù
8460,564,P01,R4,Commentaire Aléatoire2_Trop Û
8461,564,P02,R9,Commentaire Aléatoire3_Trois_Ècî
8462,564,P03,R3,Commentaire Aléatoire4_Qûàtré
8463,564,P04,R5,Commentaire Aléatoire1_îàèù
8464,564,P05,R2,Commentaire Aléatoire3_Trois_Ècî
8465,564,P06,R2,Commentaire Aléatoire4_Qûàtré
8466,564,P07,R0,Commentaire Aléatoire4_Qûàtré
8467,564,P08,R5,Commentaire Aléatoire0_Très
8468,564,P09,R2,Commentaire Aléatoire1_îàèù
8469,564,P10,R0,Commentaire Aléatoire3_Trois_Ècî
8470,564,P11,R1,Commentaire Aléatoire0_Très
8471,564,P12,R0,Commentaire Aléatoire4_Qûàtré
8472,564,P13,R2,Commentaire Aléatoire1_îàèù
8473,564,P14,R2,Commentaire Aléatoire4_Qûàtré
8474,564,P20,R2,Commentaire Aléatoire0_Très
8475,565,P01,R4,Commentaire Aléatoire2_Trop Û
8476,565,P02,R9,Commentaire Aléatoire4_Qûàtré
8477,565,P03,R4,Commentaire Aléatoire0_Très
8478,565,P04,R3,Commentaire Aléatoire2_Trop Û
8479,565,P05,R0,Commentaire Aléatoire1_îàèù
8480,565,P06,R2,Commentaire Aléatoire2_Trop Û
8481,565,P07,R7,Commentaire Aléatoire3_Trois_Ècî
8482,565,P08,R5,Commentaire Aléatoire2_Trop Û
8483,565,P09,R2,Commentaire Aléatoire1_îàèù
8484,565,P10,R2,Commentaire Aléatoire1_îàèù
8485,565,P11,R2,Commentaire Aléatoire3_Trois_Ècî
8486,565,P12,R3,Commentaire Aléatoire4_Qûàtré
8487,565,P13,R2,Commentaire Aléatoire1_îàèù
8488,565,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8489,565,P20,R2,Commentaire Aléatoire4_Qûàtré
8490,566,P01,R4,Commentaire Aléatoire4_Qûàtré
8491,566,P02,R9,Commentaire Aléatoire2_Trop Û
8492,566,P03,R0,Commentaire Aléatoire4_Qûàtré
8493,566,P04,R0,Commentaire Aléatoire2_Trop Û
8494,566,P05,R2,Commentaire Aléatoire1_îàèù
8495,566,P06,R2,Commentaire Aléatoire3_Trois_Ècî
8496,566,P07,R7,Commentaire Aléatoire4_Qûàtré
8497,566,P08,R5,Commentaire Aléatoire0_Très
8498,566,P09,R2,Commentaire Aléatoire0_Très
8499,566,P10,R1,Commentaire Aléatoire1_îàèù
8500,566,P11,R2,Commentaire Aléatoire4_Qûàtré
8501,566,P12,R3,Commentaire Aléatoire0_Très
8502,566,P13,R2,Commentaire Aléatoire2_Trop Û
8503,566,P14,R2,Commentaire Aléatoire0_Très
8504,566,P20,R2,Commentaire Aléatoire3_Trois_Ècî
8505,567,P01,R4,Commentaire Aléatoire0_Très
8506,567,P02,R9,Commentaire Aléatoire0_Très
8507,567,P03,R1,Commentaire Aléatoire4_Qûàtré
8508,567,P04,R5,Commentaire Aléatoire0_Très
8509,567,P05,R2,Commentaire Aléatoire0_Très
8510,567,P06,R2,Commentaire Aléatoire2_Trop Û
8511,567,P07,R7,Commentaire Aléatoire4_Qûàtré
8512,567,P08,R5,Commentaire Aléatoire1_îàèù
8513,567,P09,R2,Commentaire Aléatoire0_Très
8514,567,P10,R2,Commentaire Aléatoire4_Qûàtré
8515,567,P11,R2,Commentaire Aléatoire2_Trop Û
8516,567,P12,R3,Commentaire Aléatoire1_îàèù
8517,567,P13,R2,Commentaire Aléatoire0_Très
8518,567,P14,R2,Commentaire Aléatoire2_Trop Û
8519,567,P20,R1,Commentaire Aléatoire2_Trop Û
8520,568,P01,R0,Commentaire Aléatoire4_Qûàtré
8521,568,P02,R2,Commentaire Aléatoire1_îàèù
8522,568,P03,R0,Commentaire Aléatoire0_Très
8523,568,P04,R5,Commentaire Aléatoire0_Très
8524,568,P05,R2,Commentaire Aléatoire4_Qûàtré
8525,568,P06,R1,Commentaire Aléatoire1_îàèù
8526,568,P07,R7,Commentaire Aléatoire2_Trop Û
8527,568,P08,R5,Commentaire Aléatoire2_Trop Û
8528,568,P09,R1,Commentaire Aléatoire3_Trois_Ècî
8529,568,P10,R2,Commentaire Aléatoire2_Trop Û
8530,568,P11,R2,Commentaire Aléatoire0_Très
8531,568,P12,R1,Commentaire Aléatoire4_Qûàtré
8532,568,P13,R2,Commentaire Aléatoire2_Trop Û
8533,568,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8534,568,P20,R2,Commentaire Aléatoire3_Trois_Ècî
8535,569,P01,R3,Commentaire Aléatoire3_Trois_Ècî
8536,569,P02,R4,Commentaire Aléatoire0_Très
8537,569,P03,R2,Commentaire Aléatoire1_îàèù
8538,569,P04,R5,Commentaire Aléatoire1_îàèù
8539,569,P05,R2,Commentaire Aléatoire1_îàèù
8540,569,P06,R1,Commentaire Aléatoire3_Trois_Ècî
8541,569,P07,R4,Commentaire Aléatoire3_Trois_Ècî
8542,569,P08,R5,Commentaire Aléatoire1_îàèù
8543,569,P09,R2,Commentaire Aléatoire2_Trop Û
8544,569,P10,R2,Commentaire Aléatoire3_Trois_Ècî
8545,569,P11,R2,Commentaire Aléatoire1_îàèù
8546,569,P12,R3,Commentaire Aléatoire2_Trop Û
8547,569,P13,R2,Commentaire Aléatoire3_Trois_Ècî
8548,569,P14,R1,Commentaire Aléatoire0_Très
8549,569,P20,R2,Commentaire Aléatoire2_Trop Û
8550,570,P01,R4,Commentaire Aléatoire0_Très
8551,570,P02,R9,Commentaire Aléatoire1_îàèù
8552,570,P03,R4,Commentaire Aléatoire1_îàèù
8553,570,P04,R4,Commentaire Aléatoire0_Très
8554,570,P05,R2,Commentaire Aléatoire4_Qûàtré
8555,570,P06,R2,Commentaire Aléatoire2_Trop Û
8556,570,P07,R7,Commentaire Aléatoire4_Qûàtré
8557,570,P08,R5,Commentaire Aléatoire4_Qûàtré
8558,570,P09,R2,Commentaire Aléatoire0_Très
8559,570,P10,R2,Commentaire Aléatoire0_Très
8560,570,P11,R2,Commentaire Aléatoire4_Qûàtré
8561,570,P12,R3,Commentaire Aléatoire1_îàèù
8562,570,P13,R2,Commentaire Aléatoire0_Très
8563,570,P14,R2,Commentaire Aléatoire1_îàèù
8564,570,P20,R2,Commentaire Aléatoire0_Très
8565,571,P01,R4,Commentaire Aléatoire2_Trop Û
8566,571,P02,R9,Commentaire Aléatoire4_Qûàtré
8567,571,P03,R4,Commentaire Aléatoire4_Qûàtré
8568,571,P04,R5,Commentaire Aléatoire1_îàèù
8569,571,P05,R1,Commentaire Aléatoire3_Trois_Ècî
8570,571,P06,R2,Commentaire Aléatoire4_Qûàtré
8571,571,P07,R7,Commentaire Aléatoire1_îàèù
8572,571,P08,R5,Commentaire Aléatoire1_îàèù
8573,571,P09,R2,Commentaire Aléatoire4_Qûàtré
8574,571,P10,R2,Commentaire Aléatoire1_îàèù
8575,571,P11,R2,Commentaire Aléatoire1_îàèù
8576,571,P12,R3,Commentaire Aléatoire3_Trois_Ècî
8577,571,P13,R2,Commentaire Aléatoire1_îàèù
8578,571,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8579,571,P20,R2,Commentaire Aléatoire4_Qûàtré
8580,572,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8581,572,P02,R9,Commentaire Aléatoire3_Trois_Ècî
8582,572,P03,R4,Commentaire Aléatoire1_îàèù
8583,572,P04,R5,Commentaire Aléatoire2_Trop Û
8584,572,P05,R0,Commentaire Aléatoire0_Très
8585,572,P06,R2,Commentaire Aléatoire0_Très
8586,572,P07,R7,Commentaire Aléatoire3_Trois_Ècî
8587,572,P08,R2,Commentaire Aléatoire3_Trois_Ècî
8588,572,P09,R2,Commentaire Aléatoire4_Qûàtré
8589,572,P10,R2,Commentaire Aléatoire2_Trop Û
8590,572,P11,R2,Commentaire Aléatoire3_Trois_Ècî
8591,572,P12,R0,Commentaire Aléatoire2_Trop Û
8592,572,P13,R2,Commentaire Aléatoire4_Qûàtré
8593,572,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8594,572,P20,R1,Commentaire Aléatoire4_Qûàtré
8595,573,P01,R4,Commentaire Aléatoire4_Qûàtré
8596,573,P02,R9,Commentaire Aléatoire1_îàèù
8597,573,P03,R4,Commentaire Aléatoire1_îàèù
8598,573,P04,R5,Commentaire Aléatoire0_Très
8599,573,P05,R2,Commentaire Aléatoire3_Trois_Ècî
8600,573,P06,R2,Commentaire Aléatoire0_Très
8601,573,P07,R7,Commentaire Aléatoire4_Qûàtré
8602,573,P08,R5,Commentaire Aléatoire1_îàèù
8603,573,P09,R2,Commentaire Aléatoire2_Trop Û
8604,573,P10,R2,Commentaire Aléatoire1_îàèù
8605,573,P11,R2,Commentaire Aléatoire0_Très
8606,573,P12,R3,Commentaire Aléatoire1_îàèù
8607,573,P13,R2,Commentaire Aléatoire4_Qûàtré
8608,573,P14,R1,Commentaire Aléatoire1_îàèù
8609,573,P20,R1,Commentaire Aléatoire4_Qûàtré
8610,574,P01,R2,Commentaire Aléatoire2_Trop Û
8611,574,P02,R3,Commentaire Aléatoire0_Très
8612,574,P03,R4,Commentaire Aléatoire3_Trois_Ècî
8613,574,P04,R5,Commentaire Aléatoire4_Qûàtré
8614,574,P05,R2,Commentaire Aléatoire2_Trop Û
8615,574,P06,R2,Commentaire Aléatoire3_Trois_Ècî
8616,574,P07,R7,Commentaire Aléatoire4_Qûàtré
8617,574,P08,R1,Commentaire Aléatoire3_Trois_Ècî
8618,574,P09,R2,Commentaire Aléatoire4_Qûàtré
8619,574,P10,R2,Commentaire Aléatoire1_îàèù
8620,574,P11,R2,Commentaire Aléatoire1_îàèù
8621,574,P12,R0,Commentaire Aléatoire1_îàèù
8622,574,P13,R2,Commentaire Aléatoire3_Trois_Ècî
8623,574,P14,R1,Commentaire Aléatoire3_Trois_Ècî
8624,574,P20,R2,Commentaire Aléatoire0_Très
8625,575,P01,R4,Commentaire Aléatoire3_Trois_Ècî
8626,575,P02,R9,Commentaire Aléatoire1_îàèù
8627,575,P03,R4,Commentaire Aléatoire4_Qûàtré
8628,575,P04,R5,Commentaire Aléatoire1_îàèù
8629,575,P05,R1,Commentaire Aléatoire4_Qûàtré
8630,575,P06,R2,Commentaire Aléatoire1_îàèù
8631,575,P07,R4,Commentaire Aléatoire1_îàèù
8632,575,P08,R5,Commentaire Aléatoire1_îàèù
8633,575,P09,R2,Commentaire Aléatoire3_Trois_Ècî
8634,575,P10,R2,Commentaire Aléatoire4_Qûàtré
8635,575,P11,R2,Commentaire Aléatoire1_îàèù
8636,575,P12,R3,Commentaire Aléatoire1_îàèù
8637,575,P13,R2,Commentaire Aléatoire0_Très
8638,575,P14,R0,Commentaire Aléatoire1_îàèù
8639,575,P20,R2,Commentaire Aléatoire4_Qûàtré
8640,576,P01,R4,Commentaire Aléatoire1_îàèù
8641,576,P02,R9,Commentaire Aléatoire1_îàèù
8642,576,P03,R3,Commentaire Aléatoire1_îàèù
8643,576,P04,R5,Commentaire Aléatoire3_Trois_Ècî
8644,576,P05,R2,Commentaire Aléatoire2_Trop Û
8645,576,P06,R2,Commentaire Aléatoire1_îàèù
8646,576,P07,R7,Commentaire Aléatoire0_Très
8647,576,P08,R2,Commentaire Aléatoire2_Trop Û
8648,576,P09,R2,Commentaire Aléatoire3_Trois_Ècî
8649,576,P10,R2,Commentaire Aléatoire1_îàèù
8650,576,P11,R2,Commentaire Aléatoire1_îàèù
8651,576,P12,R3,Commentaire Aléatoire1_îàèù
8652,576,P13,R0,Commentaire Aléatoire3_Trois_Ècî
8653,576,P14,R2,Commentaire Aléatoire2_Trop Û
8654,576,P20,R1,Commentaire Aléatoire3_Trois_Ècî
8655,577,P01,R4,Commentaire Aléatoire4_Qûàtré
8656,577,P02,R9,Commentaire Aléatoire0_Très
8657,577,P03,R4,Commentaire Aléatoire0_Très
8658,577,P04,R5,Commentaire Aléatoire1_îàèù
8659,577,P05,R2,Commentaire Aléatoire4_Qûàtré
8660,577,P06,R0,Commentaire Aléatoire2_Trop Û
8661,577,P07,R7,Commentaire Aléatoire3_Trois_Ècî
8662,577,P08,R5,Commentaire Aléatoire0_Très
8663,577,P09,R2,Commentaire Aléatoire3_Trois_Ècî
8664,577,P10,R2,Commentaire Aléatoire0_Très
8665,577,P11,R2,Commentaire Aléatoire2_Trop Û
8666,577,P12,R3,Commentaire Aléatoire2_Trop Û
8667,577,P13,R2,Commentaire Aléatoire1_îàèù
8668,577,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8669,577,P20,R2,Commentaire Aléatoire4_Qûàtré
8670,578,P01,R3,Commentaire Aléatoire4_Qûàtré
8671,578,P02,R6,Commentaire Aléatoire4_Qûàtré
8672,578,P03,R4,Commentaire Aléatoire0_Très
8673,578,P04,R5,Commentaire Aléatoire4_Qûàtré
8674,578,P05,R0,Commentaire Aléatoire1_îàèù
8675,578,P06,R0,Commentaire Aléatoire0_Très
8676,578,P07,R7,Commentaire Aléatoire0_Très
8677,578,P08,R5,Commentaire Aléatoire4_Qûàtré
8678,578,P09,R2,Commentaire Aléatoire4_Qûàtré
8679,578,P10,R2,Commentaire Aléatoire3_Trois_Ècî
8680,578,P11,R2,Commentaire Aléatoire1_îàèù
8681,578,P12,R3,Commentaire Aléatoire3_Trois_Ècî
8682,578,P13,R2,Commentaire Aléatoire0_Très
8683,578,P14,R2,Commentaire Aléatoire3_Trois_Ècî
8684,578,P20,R1,Commentaire Aléatoire0_Très
8685,579,P01,R4,Commentaire Aléatoire4_Qûàtré
8686,579,P02,R9,Commentaire Aléatoire0_Très
8687,579,P03,R4,Commentaire Aléatoire2_Trop Û
8688,579,P04,R5,Commentaire Aléatoire2_Trop Û
8689,579,P05,R1,Commentaire Aléatoire2_Trop Û
8690,579,P06,R1,Commentaire Aléatoire2_Trop Û
8691,579,P07,R7,Commentaire Aléatoire0_Très
